id,name,address,lat,lon
26,P24 - Plaza Río De Janeiro,"Augusto Ovalle Castillo 1360, esquina con Pocuro, esquina NP, en la plaza",-33.43237,-70.59385
27,P25 - Bilbao / Ricardo Lyon,Av. Francisco Bilbao 2223,-33.4377,-70.60375
28,P26 - Mar del Plata / Ricardo Lyon,Mar del Plata 2171,-33.43243,-70.60604
29,P27 - Ricardo Lyon / Lota,"Coyancura 2200, vereda Poniente cerca de esquina con Lyon",-33.424,-70.60891
30,P28 - Ricardo Lyon / Pocuro,"Pocuro 2201, vereda Norte",-33.43533,-70.60463
31,P29 - Santa Isabel /Ana Luisa Prats,"Ana Luisa Prats 1001, lado Norte",-33.44533,-70.61776
32,P30 - Lo Contador,"Monseñor Carlos Casanueva 0335, vereda Poniente",-33.42019,-70.61815
33,P32 - Valenzuela Castillo / Miguel Claro,Valenzuela Castillo / Miguel Claro,-33.43549,-70.61937
36,P37 - Obispo Salas,Obispo Salas 359,-33.43744,-70.62798
37,P44 - Andres Bello / Padre Mariano,Padre Mariano 391,-33.42352,-70.61862
39,P49 - Fco Bilbao / Román Díaz,Román Díaz 1061,-33.43991,-70.61979
40,P52 - Holanda / Pocuro,Holanda 1709,-33.43426,-70.59949
41,P53 - Plaza Inés de Suarez,Regimiento Cazadores 1193,-33.43721,-70.61159
42,P55 - Pérez Valenzuela,Pérez Valenzuela 1548,-33.4252,-70.61982
43,S11 - Metro Toesca,General Las Heras 6,-33.45279,-70.65765
44,S02 - Metro República,República 16,-33.44869,-70.66818
45,S16 - Teatro Municipal,Tenderini 192,-33.44029,-70.64708
46,S17 - San Isidro / Santa Isabel,San Isidro 479,-33.45018,-70.64306
47,S14 - Santa Isabel / Carmen,Carmen 478,-33.44976,-70.64145
48,S12 - Barrio Lastarria,José Victorino Lastarria 290,-33.43795,-70.64114
49,S63 - Santa Isabel / Lira,Lira 484,-33.449,-70.639
51,S23 - Portugal / Santa Victoria,Santa Victoria 299,-33.447,-70.635
52,S29 - San Martin / General Mackenna,San Martín 895,-33.433,-70.659
53,V07 - Bicentenario,Bicentenario 4140,-33.401,-70.602
54,V34 - Mestizo,Isabel Montt 3330,-33.394,-70.6
56,V35 - Municipalidad de Vitacura,Bicentenario 3160,-33.398,-70.601
57,V10 - Casa Costanera,Juan Bautista Pastene 3109,-33.398,-70.598
58,V37 - Naciones Unidas,Dag Hammarskjold 3060,-33.40706,-70.60118
59,S06 - Matta / San Diego,Av. Matta 1080,-33.45953,-70.64893
60,S09 - Santo Domingo / Morandé,Morandé 598,-33.43662,-70.65418
62,S27 - Teatinos / Huérfanos,Teatinos 331,-33.43979,-70.65515
63,S19 - Palacio de La Moneda,Moneda 1301,-33.44227,-70.65479
65,S20 - Metro Santa Lucía,Miraflores 50,-33.4421,-70.64436
67,S01 - Agustinas / Manuel Rodríguez Norte,Agustinas 1116,-33.44174,-70.65941
68,S04 - Av. Portugal / Porvenir,Porvenir 302,-33.45518,-70.63336
73,S03 - Teatinos / General Mackenna,Teatinos 899,-33.43326,-70.6559
75,S10 - Estación Mapocho,Bandera 308,-33.43267,-70.65352
77,S25 - Plaza de Armas,Monjitas 874,-33.43712,-70.64951
78,S15 - Serrano / Tarapacá,Serrano 201,-33.44722,-70.64884
79,S05 - Metro Bellas Artes,Mosqueto 520,-33.43645,-70.64441
81,S18 - Metro Santa Ana,Catedral 1575,-33.43813,-70.65916
82,S21 - Metro Quinta Normal,Matucana 466,-33.44054,-70.68001
84,S07 - Metro Los Héroes,Ejército Libertador 38,-33.4477,-70.66129
85,S64 - República / Gorbea,República 430,-33.45355,-70.66721
