id,system,brand,name,address.str,address.lat,address.lon
75,11,bike_itau,S10 - Estación Mapocho,Bandera 308,"-33,43267","-70,65352"
77,11,bike_itau,S25 - Plaza de Armas,Monjitas 874,"-33,43712","-70,64951"
78,11,bike_itau,S15 - Serrano / Tarapacá,Serrano 201,"-33,44722","-70,64884"
79,11,bike_itau,S05 - Metro Bellas Artes,Mosqueto 520,"-33,43645","-70,64441"
81,11,bike_itau,S18 - Metro Santa Ana,Catedral 1575,"-33,43813","-70,65916"
82,11,bike_itau,S21 - Metro Quinta Normal,Matucana 466,"-33,44054","-70,68001"
84,11,bike_itau,S07 - Metro Los Héroes,Ejército Libertador 38,"-33,44770","-70,66129"
85,11,bike_itau,S64 - República / Gorbea,República 430,"-33,45355","-70,66721"
92,11,bike_itau,S30 - San Pablo,San Pablo 1350,"-33,43440","-70,65666"
98,11,bike_itau,I01 - Metro Hospitales,Av. Independencia 1084,"-33,41786","-70,65614"
100,11,bike_itau,I04 - Molino,Vivaceta 1052,"-33,41845","-70,66366"
102,11,bike_itau,I06 - Mall Independencia,Independencia 565,"-33,42488","-70,65470"
103,11,bike_itau,V40 - Paul Claudel,Paul Claudel 1501,"-33,40511","-70,59719"
105,11,bike_itau,V02 - Alonso de Cordova,Vitacura 3732,"-33,40200","-70,59432"
109,11,bike_itau,V43 - Plaza Lo Castillo,Candelaria Goyenechea 3821,"-33,40038","-70,59275"
110,11,bike_itau,V06 - Vespucio / Vitacura,Av Vitacura 4325,"-33,39909","-70,58824"
112,11,bike_itau,V05 - Americo Vespucio / Las Hualtatas,Américo Vespucio 1165,"-33,40398","-70,58616"
118,11,bike_itau,V30 - Los Laureles,Los Laureles 1610,"-33,40311","-70,58985"
157,11,bike_itau,V29 - Los Cobres,Vitacura 6980,"-33,38841","-70,56776"
165,11,bike_itau,S36 - Fantasilandia,Tupper 2098,"-33,45867","-70,66369"
167,11,bike_itau,S39 - Metro Parque Almagro,Lord Cochrane 499,"-33,45133","-70,65060"
168,11,bike_itau,S46 - Metro ULA,Libertador Bernardo O'Higgins 2825,"-33,44922","-70,67254"
190,11,bike_itau,N10 - Metro Plaza Egaña,Plaza Egaña 68,"-33,45261","-70,57101"
191,11,bike_itau,N05 - Irarrazaval / Hamburgo,Hamburgo 110,"-33,45391","-70,57602"
200,11,bike_itau,N01 - Irarrazaval / Agustin Vigorena,Agustín Vigorena 108,"-33,45539","-70,58643"
201,11,bike_itau,N12 - Plaza Nunoa,"Manuel de Salas 70, esquina nororiente de la Plaza Ñuñoa, Junto a municipalidad","-33,45457","-70,59325"
202,11,bike_itau,N07 - Jose Luis Araneda / Capitan Orella,José Luis Araneda 205,"-33,45252","-70,60140"
203,11,bike_itau,N13 - Ricardo Lyon / Hernan Cortes,Ricardo Lyon 2801,"-33,44673","-70,60251"
210,11,bike_itau,N11 - Metro Simon Bolivar,Av. Ossa 750,"-33,44624","-70,57212"
211,11,bike_itau,N06 - Metro Nunoa,Irarrázaval 2470,"-33,45395","-70,60567"
212,11,bike_itau,N09 - Metro Irarrazaval,"San Eugenio 61, en Isla entre San Eugenio y Bustamante, llegando a Irarrázaval desde el sur.","-33,45285","-70,62822"
213,11,bike_itau,N08 - Manuel Montt / Union Literaria,Manuel Montt 2219,"-33,44800","-70,61342"
